Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Number of Presenters,Male Presenter,Female Presenter,Monthly Sales,Profit Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Namita Investment Amount,Namita Investment Equity,Anupam Investment Amount,Anupam Investment Equity,Vineeta Investment Amount,Vineeta Investment Equity,Aman Investment Amount,Aman Investment Equity,Peyush Investment Amount,Peyush Investment Equity,Ghazal Investment Amount,Ghazal Investment Equity,All Sharks Deal
1,23,,74,Guardian Gears,,Motorcycle Luggage,,,,,,30,5,600,,,,,,,,,,,,,,,,,,,,,
1,23,,75,Modern Myth,Wearables,Bags,,,,,,75,5,1500,,,,,,,,,,,,,,,,,,,,,
1,24,,76,The Sass Bar,,Gifts,,,,,,40,8,500,1,1,50,35,,143,,,,,,,,,,,,,,,
1,24,,77,KG Agrotech,Hardware,Agricultural Innovations,2,2,,,,30,10,300,1,1,10,40,20,25,,,,,,,,,,,,,,,
1,24,,78,Nuskha Kitchen,Food,Homemade Foods,,,,,,20,10,200,,,,,,,,,,,,,,,,,,,,,
1,25,,79,PawsIndia,Animal/Pets,Dog Products,,,,,,50,4,1250,1,1,50,15,,333,,,,,,,,,,,,,,,
1,25,,80,Sunfox Technologies,Medical,Portable ECG Device,,,,,,100,2,5000,1,1,100,6,,1667,,,,,,,,,,,,,,,
1,25,,81,Alpino,Food,Roasted Peanut Products,,,,,,150,2,7500,,,,,,,,,,,,,,,,,,,,,
1,26,,82,Isak Fragrances,Beauty/Fashion,Perfumes,,,,,,50,8,625,1,1,50,50,,100,,,,,,,,,,,,,,,
1,26,,83,Julaa Automation,,Automatic Cradle,,,,,,50,10,500,,,,,,,,,,,,,,,,,,,,,
1,26,,84,Rare Planet,,Handicrafts,,,,,,65,1,6500,1,1,65,3,,2167,,,,,,,,,,,,,,,
1,27,,85,Theka Coffee,Food,Coffee Products,,,,,,50,10,500,,,,,,,,,,,,,,,,,,,,,
1,27,,86,Watt Technovations,,Ventilated PPE Kits,,,,,,0.00101,10,0,1,1,0.00101,4,,0,,,,,,,,,,,,,,,
1,27,,87,Aliste Technologies,,Automation Solutions,,,,,,60,5,1200,,,,,,,,,,,,,,,,,,,,,
1,27,,88,Insurance Samadhan,,Insurance Solutions,,,,,,100,1,10000,1,1,100,4,,2500,,,,,,,,,,,,,,,
1,28,,89,Humpy A2,Food,Organic Milk Products,,,,,,75,4,1875,1,1,100,15,,667,,,,,,,,,,,,,,,
1,28,,90,Kunafa World,,Kunafa,,,,,,90,5,1800,,,,,,,,,,,,,,,,,,,,,
1,28,,91,Gold Safe Solutions Ind.,,Anti-Suicidal Fan Rod,,,,,,50,5,1000,1,1,50,30,,167,,,,,,,,,,,,,,,
1,29,,92,Wakao Foods,Food,Jackfruit Products,,,,,,75,5,1500,1,1,75,21,,357,,,,,,,,,,,,,,,
1,29,,93,PDD Falcon,,Stainless Steel Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,94,PlayBox TV,,Streaming Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,95,Sippline Drinking Shields,,Portable Glass Attachment,,,,,,75,15,500,,,,,,,,,,,,,,,,,,,,,
1,30,,96,Kabaddi Adda,Sports,All-Kabaddi App,,,,,,80,1,8000,1,1,80,6,,1333,,,,,,,,,,,,,,,
1,30,,97,Shades of Spring,,Flowers,,,,,,300,1,30000,,,,,,,,,,,,,,,,,,,,,
1,30,,98,Scholify,,Scholarship Platform,,,,,,50,7.5,667,,,,,,,,,,,,,,,,,,,,,
1,31,,99,Scrapshala,,Handmade Reusable Scrap Materials,,,,,,50,10,500,,,,,,,,,,,,,,,,,,,,,
1,31,,100,Sabjikothi,,Vegetables Storage,,,,,,60,2.5,2400,,,,,,,,,,,,,,,,,,,,,
1,31,,101,AyuRythm,,Ayurvedic Wellness App,,,,,,75,2,3750,1,1,75,2.68,,2799,,,,,,,,,,,,,,,
1,31,,102,Astrix,,Smart Locks,,,,,,75,3,2500,,,,,,,,,,,,,,,,,,,,,
1,32,,103,Thea and Sid,,Proposal Solutions,,,,,,80,7,1143,,,,,,,,,,,,,,,,,,,,,
1,32,,104,Experential Etc,,Technology layered advertisement services,,,,,,200,4,5000,,,,,,,,,,,,,,,,,,,,,
1,32,,105,GrowFitter,,Rewards App,,,,,,50,1,5000,1,1,50,2,,2500,,,,,,,,,,,,,,,
1,32,,106,Med Tech,,Portable opthalmic devices,,,,,,35,6,583,,,,,,,,,,,,,,,,,,,,,
1,33,,107,Colour Me Mad,,Insoles,,,,,,40,10,400,1,1,40,25,,160,,,,,,,,,,,,,,,
1,33,,108,Mavi's,Food,Vegan Fermented Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,109,Tweek Labs,,Sportswear,,,,,,,,,1,1,60,10,,600,,,,,,,,,,,,,,,
1,33,,110,Proxgy,Technology,VR,,,,,,,,,1,1,100,10,,1000,,,,,,,,,,,,,,,
1,34,,111,Nomad Food Project,Food,Bacon Jams,,,,,,,,,1,1,40,20,,200,,,,,,,,,,,,,,,
1,34,,112,Twee in One,,Reversible and convertible clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,113,Green Protein,,Plant-Based Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,114,On2Cook,,Fastest Cooking Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,115,Jain Shikanji,,Lemonade,,,,,,,,,1,1,40,30,,133,,,,,,,,,,,,,,,
1,35,,116,Woloo,,Washroom Finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,117,Elcare India,,Carenting for Elders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
